DBA,ADDRESS,LON,LAT,BORO,ZIPCODE,CUISINE DESCRIPTION,VIOLATION POINTS,GRADE,GRADE DATE
PUGSLEY PIZZA,"590 East 191 Street, Bronx New York 10458",-73.884756,40.858821,BRONX,10458,Pizza,12,A,7/29/2015
ZEBRA LOUNGE,"13611 38 Avenue, Queens New York 11354",-73.8303347,40.7611508,QUEENS,11354,Chinese,13,A,7/29/2015
PIZZA TOWN,"85 5 Avenue, Brooklyn New York 11217",-73.9777547,40.6799791,BROOKLYN,11217,Pizza/Italian,12,A,7/28/2015
TJ'S COFFEE WORLD,"228 Canal St, Manhattan New York 10013",-73.9996933,40.7175831,MANHATTAN,10013,Café/Coffee/Tea,11,A,7/28/2015
THE FAMOUS EMILIO'S PIZZA,"2020 Eastchester Road, Bronx New York 10461",-73.8431179,40.8537991,BRONX,10461,Pizza/Italian,9,A,7/28/2015
KABIR'S BAKERY,"97 Church Avenue, Brooklyn New York 11218",-73.9797065,40.6428905,BROOKLYN,11218,Bangladeshi,11,A,7/28/2015
BENGAL TIGER INDIAN FOOD,"58 West 56Th Street, Manhattan New York 10019",-73.9771711,40.7633128,MANHATTAN,10019,Indian,9,A,7/28/2015
CAFE RIAZOR,"245 West 16 Street, Manhattan New York 10011",-74.000399,40.740848,MANHATTAN,10011,Spanish,21,Z,7/28/2015
Y CAFE,"182 Avenue B, Manhattan New York 10009",-73.9794819,40.7278125,MANHATTAN,10009,Asian,33,Z,7/28/2015
FRANKLIN PIZZA,"109 Franklin Street, Brooklyn New York 11222",-73.957817,40.729677,BROOKLYN,11222,Pizza,7,A,7/27/2015
DEMARCHELIER RESTAURANT,"50 East 86 Street, Manhattan New York 10028",-73.9586999,40.780493,MANHATTAN,10028,French,2,A,7/27/2015
DUNKIN' DONUTS,"2801 Knapp Street, Brooklyn New York 11235",-73.930981,40.5861965,BROOKLYN,11235,Donuts,2,A,7/24/2015
HO MEI CHINESE RESTAURANT,"222 Malcom X Boulevard, Brooklyn New York 11221",-73.9298338,40.6854905,BROOKLYN,11221,Chinese,3,A,7/24/2015
HEAVEN SPORTS BAR,"2826 Steinway Street, Queens New York 11103",-73.9144443,40.7648939,QUEENS,11103,American ,12,A,7/24/2015
US FRIED CHICKEN,"1453 East New York Avenue, Brooklyn New York 11212",-73.9138992,40.6711531,BROOKLYN,11212,Chicken,12,A,7/24/2015
LA FE RESTAURANT,"941 4 Avenue, Brooklyn New York 11232",-74.0042129,40.654029,BROOKLYN,11232,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",9,A,7/24/2015
ANTICA PESA,"115 Berry Street, Brooklyn New York 11249",-73.9585845,40.7187988,BROOKLYN,11249,Italian,7,A,7/24/2015
SUNNYSIDE BAGEL,"4320 Queens Boulevard, Queens New York 11104",-73.9208283,40.7429804,QUEENS,11104,Bagels/Pretzels,7,A,7/24/2015
MCDONALD'S,"2516 White Plains Road, Bronx New York 10467",-73.8670955,40.8640754,BRONX,10467,Hamburgers,11,A,7/24/2015
IDEYA BROOKLYN,"636 Carlton Ave, Brooklyn New York 11238",-73.9725491,40.6775205,BROOKLYN,11238,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",3,Z,7/24/2015
SABA RESTAURANT,"2575 Steinway Street, Queens New York 11103",-73.912961,40.7659935,QUEENS,11103,Middle Eastern,13,A,7/24/2015
NEW ALLERTON PIZZA,"752 Allerton Avenue, Bronx New York 10467",-73.8651937,40.8652192,BRONX,10467,Pizza,10,A,7/23/2015
TAJ CAFE,"310 East 6 Street, Manhattan New York 10003",-73.9881173,40.7269423,MANHATTAN,10003,Indian,13,A,7/23/2015
PASTA LOVERS TRATTORIA,"142 West 49 Street, Manhattan New York 10019",-73.982976,40.7599775,MANHATTAN,10019,Italian,32,Z,7/23/2015
KIMCHAYUL B.B.Q.,"4122 162 Street, Queens New York 11358",-73.8042059,40.76077,QUEENS,11358,Korean,27,Z,7/23/2015
99 CENT FRESH PIZZA,"388 6Th Ave, Manhattan New York 10011",-73.999553,40.733099,MANHATTAN,10011,Pizza,4,A,7/23/2015
CARBONE,"181 Thompson Street, Manhattan New York 10012",-74.0002311,40.7279891,MANHATTAN,10012,Italian,10,A,7/23/2015
China Star,"145 1St Avenue, Manhattan New York 10003",-73.9851981,40.7281981,MANHATTAN,10003,Chinese,9,A,7/23/2015
SUBWAY,"15-18 College Point Blvd, Queens New York 11356",-73.987291,40.720863,QUEENS,11356,Sandwiches,12,A,7/22/2015
PIZZA WAGON,"8606 5 Avenue, Brooklyn New York 11209",-74.0263399,40.6213638,BROOKLYN,11209,Pizza,4,A,7/22/2015
CLEMENTE'S MARYLAND CRAB HOUSE,"3939 Emmons Avenue, Brooklyn New York 11235",-73.9263201,40.5850723,BROOKLYN,11235,American ,40,Z,7/22/2015
CABO RESTAURANT,"3764 East Tremont Avenue, Bronx New York 10465",-73.8215929,40.825758,BRONX,10465,Mexican,22,Z,7/22/2015
E.J LUNCHEONETTE,"1271 Third Avenue, Manhattan New York 10021",-73.9597299,40.770444,MANHATTAN,10021,American ,20,Z,7/22/2015
FRESH POND ROAD PASTRY SHOP,"69-08/10 Fresh Pond Road, Queens New York 11385",-73.8955057,40.7028232,QUEENS,11385,Bakery,9,A,7/22/2015
FISHNET CAFE,"474 Willis Avenue, Bronx New York 10455",-73.9187727,40.8142104,BRONX,10455,Seafood,12,A,7/22/2015
THE MEATBALL SHOP,"1462 2Nd Avenue, Manhattan New York 10075",-73.955958,40.771541,MANHATTAN,10075,American ,9,A,7/22/2015
PIC UP STIX,"1372 Lexington Ave, Manhattan New York 10128",-73.9536008,40.7825677,MANHATTAN,10128,Chinese,11,A,7/22/2015
NEW MEXICO PLACE II,"778 Seneca Ave, Queens New York 11385",-73.9060651,40.7017117,QUEENS,11385,Mexican,10,A,7/22/2015
XI'AN FAMOUS FOODS,"24 W. 45Th St, Manhattan New York 10036",-73.9808128,40.7557955,MANHATTAN,10036,Chinese,2,Z,7/21/2015
NEVADA DINER,"8026 Queens Blvd, Queens New York 11373",-73.8827133,40.7374003,QUEENS,11373,American ,12,A,7/21/2015
subway,"2699 Broadway, Manhattan New York 10025",-73.987291,40.720863,MANHATTAN,10025,Sandwiches/Salads/Mixed Buffet,6,A,7/21/2015
EQUINOX,"1 Park Ave, Manhattan New York 10016",-73.9815497,40.7459158,MANHATTAN,10016,Salads,13,A,7/21/2015
DUNKIN' DONUTS,"3015 Stratton Street, Queens New York 11354",-73.930981,40.5861965,QUEENS,11354,Donuts,7,A,7/20/2015
SWEET BASIL THAI CUISINE,"39-28 61St Street, Queens New York 11377",-73.9032175,40.7465064,QUEENS,11377,Thai,22,Z,7/20/2015
CODY'S ALE HOUSE GRILL,"154 Court Street, Brooklyn New York 11201",-73.9931261,40.6887559,BROOKLYN,11201,American ,12,A,7/20/2015
Caribbean Jerkee's Delight,"932 Utica Ave, Brooklyn New York 11203",-73.9305849,40.650339,BROOKLYN,11203,Caribbean,12,A,7/20/2015
YOGURTLAND,"795 Columbus Avenue, Manhattan New York 10025",-73.965964,40.7943209,MANHATTAN,10025,"Ice Cream, Gelato, Yogurt, Ices",2,A,7/17/2015
CAFFE ROMA,"385 Broome Street, Manhattan New York 10013",-73.9967999,40.720231,MANHATTAN,10013,Bakery,12,A,7/17/2015
KINSHIP COFFEE,"3005 Steinway St, Queens New York 11103",-73.9151379,40.7636923,QUEENS,11103,Café/Coffee/Tea,2,A,7/17/2015
SOUTH SHORE SWIMMING CLUB,"6736 Hylan Boulevard, Staten Island New York 10309",-74.2274942,40.5071996,STATEN ISLAND,10309,American ,10,A,7/16/2015
CITY ONE CHINESE RESTAURANT,"2726 Frederick Douglass Boulevard, Manhattan New York 10030",-73.9418272,40.8226224,MANHATTAN,10030,Chinese,12,A,7/16/2015
NOODLE FUN,"1744 1St Ave, Manhattan New York 10128",-73.94704,40.779526,MANHATTAN,10128,Chinese,5,A,7/16/2015
SAUCE N CHEESE 1,"509 Albany Ave, Brooklyn New York 11203",-73.9398118,40.6625966,BROOKLYN,11203,Pizza,10,A,7/16/2015
ESS-A-BAGEL,"831 Third Avenue, Manhattan New York 10022",-73.9699785,40.7559897,MANHATTAN,10022,Bagels/Pretzels,12,A,7/16/2015
MAXIM CHINESE RESTAURANT,"3761 103Rd St, Queens New York 11368",-73.8635588,40.7517999,QUEENS,11368,Chinese,10,A,7/16/2015
MR. DRINK,"3906 108Th St, Queens New York 11368",-73.8592602,40.7512706,QUEENS,11368,"Juice, Smoothies, Fruit Salads",7,A,7/16/2015
HERBS SUPER DUMPLING,"251 East 45 Street, Manhattan New York 10017",-73.9709608,40.7519381,MANHATTAN,10017,Chinese,22,Z,7/15/2015
AKIRA JAPANESE CUISINE,"152 7 Avenue South, Manhattan New York 10014",-74.002131,40.735281,MANHATTAN,10014,Japanese,12,A,7/15/2015
SAL'S PIZZERIA,"544 Lorimer Street, Brooklyn New York 11211",-73.9492258,40.7131675,BROOKLYN,11211,Pizza/Italian,11,A,7/15/2015
TAL BAGELS DELI,"975979 First Avenue, Manhattan New York 10022",-73.963871,40.7570131,MANHATTAN,10022,Delicatessen,13,A,7/14/2015
MCDONALD'S,"31-46 21 Street, Queens New York 11106",-73.8670955,40.8640754,QUEENS,11106,Hamburgers,12,A,7/14/2015
WEST BANK CAFE,"407 West 42 Street, Manhattan New York 10036",-73.9928342,40.7588583,MANHATTAN,10036,American ,12,A,7/14/2015
SIDEWALK BAR & RESTAURANT,"94 Avenue A, Manhattan New York 10009",-73.983622,40.72548,MANHATTAN,10009,American ,8,A,7/14/2015
REGENCY HOTEL,"540 Park Avenue, Manhattan New York 10065",-73.9692185,40.7645497,MANHATTAN,10065,American ,11,A,7/14/2015
FORCE FITNESS CLUB,"6303 Fresh Pond Road, Queens New York 11385",-73.899896,40.7117956,QUEENS,11385,"Juice, Smoothies, Fruit Salads",4,A,7/14/2015
AUNT BELLA'S REST OF LITTLE NECK,"4619 Marathon Parkway, Queens New York 11362",-73.7363139,40.767005,QUEENS,11362,Italian,11,A,7/14/2015
GAIA ITALIAN CAFE,"251 East Houston Street, Manhattan New York 10002",-73.9853261,40.7216921,MANHATTAN,10002,Italian,5,A,7/14/2015
Subway,"216 Atlantic Ave, Brooklyn New York 11201",-73.987291,40.720863,BROOKLYN,11201,Sandwiches,2,A,7/13/2015
TONY'S PIZZERIA,"336 Knickerbocker Avenue, Brooklyn New York 11237",-73.922642,40.701015,BROOKLYN,11237,Pizza/Italian,12,A,7/13/2015
MEXICOZINA,"444 East 149 Street, Bronx New York 10455",-73.9158278,40.815092,BRONX,10455,Mexican,30,Z,7/13/2015
ABECA SUSHI,"121 E. 27Th St, Manhattan New York 10016",-73.983441,40.742541,MANHATTAN,10016,Japanese,17,Z,7/13/2015
KINFOLK STUDIOS,"90 Wythe Ave., Brooklyn New York 11249",-73.95833,40.721746,BROOKLYN,11249,Scandinavian,12,A,7/13/2015
U.S. KENNEDY FRIED CHICKEN PIZZA,"1335 Prospect Ave, Bronx New York 10459",-73.8978277,40.8292156,BRONX,10459,Chicken,17,Z,7/13/2015
LA ANTIOQUENA BAKERY II,"4007 National Street, Queens New York 11368",-73.862658,40.749222,QUEENS,11368,Bakery,9,A,7/13/2015
AL DENTE PIZZERIA,"10315 Queens Blvd, Queens New York 11375",-73.8417069,40.7202017,QUEENS,11375,Pizza/Italian,17,Z,7/13/2015
PRET A MANGER,"265 Madison Ave, Manhattan New York 10016",-73.9803398,40.7509133,MANHATTAN,10016,American ,7,A,7/10/2015
LA ESTRELLA RESTAURANT,"2051 Webster Ave, Bronx New York 10457",-73.8989301,40.8514397,BRONX,10457,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",9,A,7/10/2015
JAHLOOKOVER US,"215 E 170Th St, Bronx New York 10456",-73.9129265,40.8386649,BRONX,10456,Caribbean,22,Z,7/10/2015
GOGO-GI,"3908 Broadway, Manhattan New York 10032",-73.9415609,40.8378701,MANHATTAN,10032,Korean,4,A,7/9/2015
HARWAY FOODS,"2863 Harway Avenue, Brooklyn New York 11214",-73.9839054,40.5877169,BROOKLYN,11214,Mediterranean,3,A,7/9/2015
SOCIAL,"795 8 Avenue, Manhattan New York 10019",-73.987214,40.761323,MANHATTAN,10019,American ,16,Z,7/9/2015
CANARSIE COFFEE,"1430 Rockaway Pkwy, Brooklyn New York 11236",-73.9025769,40.6451383,BROOKLYN,11236,Delicatessen,10,A,7/9/2015
KING'S WOK RESTAURANT,"1761 Bath Avenue, Brooklyn New York 11214",-74.0064087,40.6042508,BROOKLYN,11214,Chinese,21,Z,7/9/2015
HEALTHIER CHOICES,"2107 1 Avenue, Manhattan New York 10029",-73.9391696,40.7911679,MANHATTAN,10029,Caribbean,4,A,7/9/2015
CHEN KAM'S GARDEN CHINESE RESTAURANT,"24507 Jericho Turnpike, Queens New York 11426",-73.7229384,40.7248692,QUEENS,11426,Chinese,4,A,7/9/2015
NEW HOT WOK,"4912 Avenue K, Brooklyn New York 11234",-73.928151,40.6255693,BROOKLYN,11234,Chinese,8,A,7/9/2015
EL NUEVO VALLE RESTAURANT,"1846 Jerome Avenue, Bronx New York 10453",-73.911175,40.848664,BRONX,10453,Spanish,25,Z,7/9/2015
SUBWAY OF BROADWAY,"3795 Broadway, Manhattan New York 10032",-73.9449065,40.8346998,MANHATTAN,10032,Sandwiches/Salads/Mixed Buffet,8,A,7/9/2015
GOURMET GRILL,"6334 Avenue N, Brooklyn New York 11234",-73.9160189,40.6193982,BROOKLYN,11234,Italian,12,A,7/9/2015
LAZZARAS PIZZA CAFE,"221 West 38 Street, Manhattan New York 10018",-73.989497,40.754057,MANHATTAN,10018,Pizza,21,Z,7/9/2015
BROADWAY GRILL,"4213 Broadway, Queens New York 11103",-73.9132755,40.7563132,QUEENS,11103,Spanish,7,A,7/8/2015
DICHTER PHARMACY,"4953 B'Way, Manhattan New York 10034",-73.9862716,40.7596048,MANHATTAN,10034,Spanish,7,A,7/8/2015
KARAOKE DUET,"900 8Th Ave, Manhattan New York 10019",-73.9841493,40.764334,MANHATTAN,10019,Other,12,A,7/8/2015
MING'S DELIGHT,"594 3 Avenue, Manhattan New York 10016",-73.976173,40.7488254,MANHATTAN,10016,Chinese,19,Z,7/8/2015
Dunkin Donuts,"1592 Westchester Ave, Bronx New York 10472",-73.8756505,40.828877,BRONX,10472,Donuts,12,A,7/8/2015
OLYMPIC FLAME DINER,"200 West 60 Street, Manhattan New York 10023",-73.9877136,40.7710901,MANHATTAN,10023,American ,5,A,7/8/2015
NEW FIVE STAR RESTAURANT,"1715 East 174 Street, Bronx New York 10472",-73.8711599,40.8348361,BRONX,10472,Chinese,7,A,7/8/2015
TABATA 2 JAPANESE NOODLE RESTAURANT,"557 8Th Ave, Manhattan New York 10018",-73.992015,40.754742,MANHATTAN,10018,Japanese,27,Z,7/8/2015
MCDONALDS,"3167 Steinway St, Queens New York 11103",-73.918239,40.7594179,QUEENS,11103,Hamburgers,4,A,7/8/2015
CHOP'T,"100 Park Avenue, Manhattan New York 10017",-73.9787503,40.7513403,MANHATTAN,10017,American ,4,A,7/8/2015
GRANDMAS ORIGINAL PIZZA,"6918 3 Avenue, Brooklyn New York 11209",-74.026492,40.635353,BROOKLYN,11209,Pizza,8,A,7/8/2015
ICHI SUSHI,"8609 Bay Parkway, Brooklyn New York 11214",-73.9938551,40.6015036,BROOKLYN,11214,Japanese,16,Z,7/7/2015
DELICIAS BAKERY & RESTAURANT,"103-07 Roosevelt Avenue, Queens New York 11368",-73.8625216,40.749914,QUEENS,11368,Spanish,20,Z,7/7/2015
FREEHOLD,"45 S 3Rd St, Brooklyn New York 11249",-73.9657715,40.7136902,BROOKLYN,11249,American ,23,Z,7/7/2015
MON HING RESTAURANT,"497 Albany Avenue, Brooklyn New York 11203",-73.9398536,40.6628058,BROOKLYN,11203,Chinese,11,A,7/7/2015
CAFE BENE,"4131 Queens Blvd, Queens New York 11104",-73.9225332,40.7439419,QUEENS,11104,Café/Coffee/Tea,12,A,7/7/2015
POUNDS & OUNCES,"160 8 Ave, Manhattan New York 10011",-74.000451,40.742015,MANHATTAN,10011,American ,26,Z,7/6/2015
THE LOOP,"173 3 Avenue, Manhattan New York 10003",-73.9858605,40.7347628,MANHATTAN,10003,Japanese,13,A,7/6/2015
CHIPOTLE MEXICAN GRILL,"504 6Th Ave, Manhattan New York 10011",-73.9970866,40.7364299,MANHATTAN,10011,Mexican,4,A,7/6/2015
J&J NAVY YARD SUB SHOPPE,"2 Adelphi Street, Brooklyn New York 11205",-73.9728133,40.6978451,BROOKLYN,11205,Sandwiches,11,A,7/1/2015
KENNEDY FRIED CHICKEN,"1815 Grand Concourse, Bronx New York 10453",-73.9084663,40.8474818,BRONX,10453,Chicken,17,Z,7/1/2015
BOSTON MARKET,"1465 Forest Avenue, Staten Island New York 10302",-74.137396,40.624594,STATEN ISLAND,10302,American ,12,A,7/1/2015
LENNY'S PIZZA,"1046 Nostrand Avenue, Brooklyn New York 11225",-73.951092,40.662743,BROOKLYN,11225,Pizza,2,A,7/1/2015
IHOP,"15517 Northern Boulevard, Queens New York 11354",-73.8092355,40.7644909,QUEENS,11354,Pancakes/Waffles,12,A,6/30/2015
RESERVE CUT,"40 Broad St, Manhattan New York 10004",-74.0117313,40.706084,MANHATTAN,10004,Jewish/Kosher,13,A,6/30/2015
GENKI SUSHI HOUSE,"150 Greaves Lane, Staten Island New York 10308",-74.1428413,40.5540394,STATEN ISLAND,10308,Japanese,11,A,6/30/2015
DAZIES RESTAURANT,"3941 Queens Boulevard, Queens New York 11104",-73.9245566,40.7441786,QUEENS,11104,Italian,12,A,6/29/2015
MENDY'S,"10 Park Avenue, Manhattan New York 10016",-73.9815103,40.7475731,MANHATTAN,10016,Jewish/Kosher,9,A,6/29/2015
KATHY'S DUMPLING,"7924 3 Avenue, Brooklyn New York 11209",-74.0294235,40.6279967,BROOKLYN,11209,Chinese,6,A,6/29/2015
ROSA MEXICANO AT LINCOLN CENTER,"61 Columbus Avenue, Manhattan New York 10023",-73.9833914,40.7711259,MANHATTAN,10023,Mexican,25,Z,6/26/2015
PANINI TOST CAFE,"1617 Oriental Boulevard, Brooklyn New York 11235",-73.9381965,40.5784584,BROOKLYN,11235,Sandwiches/Salads/Mixed Buffet,13,A,6/26/2015
PRABHU KIRPA SWEETS AND RESTAURANT,"13403 Rockaway Boulevard, Queens New York 11420",-73.8032066,40.674532,QUEENS,11420,Indian,10,A,6/26/2015
DUNKIN DONUTS/BASKIN ROBBINS,"484 9 Avenue, Manhattan New York 10018",-73.9945377,40.7552345,MANHATTAN,10018,Café/Coffee/Tea,12,A,6/26/2015
LAZY IBIS,"663 Franklin Ave, Brooklyn New York 11238",-73.955868,40.675747,BROOKLYN,11238,Café/Coffee/Tea,10,A,6/26/2015
